NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ERH	1	ERH	
SNRPE	1	SNRPE	
FKBP4	1	FKBP4	
PHPT1	1	PHPT1	
KMT2E	1	KMT2E	
RNASEH2B	1	RNASEH2B	
ZNF791	1	ZNF791	
TXNDC9	1	TXNDC9	
TNKS	1	TNKS	
HVCN1	1	HVCN1	
CREM	1	CREM	
ARL2	1	ARL2	
PHB	1	PHB	
CORO1A	1	CORO1A	
RLF	1	RLF	
KRCC1	1	KRCC1	
CCDC144A	1	CCDC144A	
FOXO1	1	FOXO1	
HOTAIRM1	1	HOTAIRM1	
STIP1	1	STIP1	
SOCS1	1	SOCS1	
HNRNPDL	1	HNRNPDL	
G3BP1	1	G3BP1	
G3BP2	1	G3BP2	
PGK1	1	PGK1	
ZNF669	1	ZNF669	
EIF4EBP1	1	EIF4EBP1	
COA4	1	COA4	
COA3	1	COA3	
AKIRIN2	1	AKIRIN2	
UVRAG	1	UVRAG	
CHTOP	1	CHTOP	
SLC37A1	1	SLC37A1	
TRAPPC4	1	TRAPPC4	
ZBTB10	1	ZBTB10	
ARPC5	1	ARPC5	
GABPB1-AS1	1	GABPB1-AS1	
MFHAS1	1	MFHAS1	
BFSP2	1	BFSP2	
RGCC	1	RGCC	
LSM6	1	LSM6	
BCL6	1	BCL6	
TMEM11	1	TMEM11	
DMXL1	1	DMXL1	
BCL2	1	BCL2	
PIN4	1	PIN4	
MDM4	1	MDM4	
CNIH4	1	CNIH4	
TRADD	1	TRADD	
AMD1	1	AMD1	
BRK1	1	BRK1	
LSP1	1	LSP1	
H1-10	1	H1FX	
PIK3CG	1	PIK3CG	
PAGR1	1	PAGR1	
NGRN	1	NGRN	
DUSP10	1	DUSP10	
SUMO1	1	SUMO1	
VPS72	1	VPS72	
TAGAP	1	TAGAP	
PHACTR1	1	PHACTR1	
BCAS2	1	BCAS2	
ACTR3	1	ACTR3	
ITGA4	1	ITGA4	
VBP1	1	VBP1	
RNASET2	1	RNASET2	
NDUFC2	1	NDUFC2	
NDUFC1	1	NDUFC1	
SARS1	1	SARS	
PKM	1	PKM	
HAX1	1	HAX1	
DBF4	1	DBF4	
DAD1	1	DAD1	
C1D	1	C1D	
TRAF5	1	TRAF5	
LCP1	1	LCP1	
SLC25A5	1	SLC25A5	
BDP1	1	BDP1	
GAPDH	1	GAPDH	
DCTPP1	1	DCTPP1	
HDAC2	1	HDAC2	
TSSC4	1	TSSC4	
NDUFB6	1	NDUFB6	
NUFIP2	1	NUFIP2	
NDUFB5	1	NDUFB5	
NDUFB4	1	NDUFB4	
NDUFB3	1	NDUFB3	
DENND3	1	DENND3	
PDHB	1	PDHB	
SRI	1	SRI	
IL2RG	1	IL2RG	
CXXC5	1	CXXC5	
MRM2	1	MRM2	
NSL1	1	NSL1	
TTN	1	TTN	
TP53INP1	1	TP53INP1	
DNAJB9	1	DNAJB9	
SAP18	1	SAP18	
RBBP6	1	RBBP6	
PCBD1	1	PCBD1	
FNIP1	1	FNIP1	
DRAM2	1	DRAM2	
AAMP	1	AAMP	
SH2B2	1	SH2B2	
HNRNPA0	1	HNRNPA0	
GADD45GIP1	1	GADD45GIP1	
SMARCE1	1	SMARCE1	
NDUFA8	1	NDUFA8	
MARCKSL1	1	MARCKSL1	
RNGTT	1	RNGTT	
NDUFA6	1	NDUFA6	
ERAP2	1	ERAP2	
ADRM1	1	ADRM1	
TXNL1	1	TXNL1	
CCDC59	1	CCDC59	
CYP51A1	1	CYP51A1	
LYSMD2	1	LYSMD2	
ATOX1	1	ATOX1	
SUGCT	1	SUGCT	
RAB10	1	RAB10	
ASXL1	1	ASXL1	
P2RX5	1	P2RX5	
NAGK	1	NAGK	
CLEC2B	1	CLEC2B	
C2orf74	1	C2orf74	
PDCD4	1	PDCD4	
PTPN6	1	PTPN6	
CCM2	1	CCM2	
PDCD2	1	PDCD2	
PTPN7	1	PTPN7	
SMAP2	1	SMAP2	
POLR3K	1	POLR3K	
ISCA2	1	ISCA2	
EIF4A1	1	EIF4A1	
IFITM1	1	IFITM1	
TRAF3IP3	1	TRAF3IP3	
CPNE5	1	CPNE5	
ARL6IP1	1	ARL6IP1	
CCNH	1	CCNH	
ICAM2	1	ICAM2	
JMJD1C	1	JMJD1C	
CBLB	1	CBLB	
LDLRAD4	1	LDLRAD4	
NUDT5	1	NUDT5	
TXNDC17	1	TXNDC17	
PNN	1	PNN	
LGALS1	1	LGALS1	
ZNF608	1	ZNF608	
CDC26	1	CDC26	
MAGOH	1	MAGOH	
FAM53C	1	FAM53C	
DPF2	1	DPF2	
TBC1D10C	1	TBC1D10C	
CPNE1	1	CPNE1	
EPC1	1	EPC1	
CIAO2A	1	CIAO2A	
SEPHS2	1	SEPHS2	
TRIM22	1	TRIM22	
SRRM2	1	SRRM2	
ST6GAL1	1	ST6GAL1	
IMP3	1	IMP3	
ARRDC3	1	ARRDC3	
CIRBP	1	CIRBP	
MRPS18B	1	MRPS18B	
NSMCE1	1	NSMCE1	
TALDO1	1	TALDO1	
HLA-F	1	HLA-F	
HLA-E	1	HLA-E	
MRPS18C	1	MRPS18C	
MIR181A1HG	1	MIR181A1HG	
PYURF	1	PYURF	
CFDP1	1	CFDP1	
SNHG12	1	SNHG12	
VDAC1	1	VDAC1	
SUCLG1	1	SUCLG1	
NEIL1	1	NEIL1	
EIF1B	1	EIF1B	
TRIB2	1	TRIB2	
MACF1	1	MACF1	
AARS1	1	AARS	
ANP32A	1	ANP32A	
PEX11B	1	PEX11B	
TWF2	1	TWF2	
SUPT4H1	1	SUPT4H1	
TXN	1	TXN	
GSPT2	1	GSPT2	
MYL12A	1	MYL12A	
CDKN2AIP	1	CDKN2AIP	
MYL12B	1	MYL12B	
UGCG	1	UGCG	
SNX1	1	SNX1	
CHTF8	1	CHTF8	
SEC14L1	1	SEC14L1	
ZNF706	1	ZNF706	
ZNF827	1	ZNF827	
PDCD10	1	PDCD10	
PCBP1	1	PCBP1	
ST8SIA4	1	ST8SIA4	
SARAF	1	SARAF	
ZNF821	1	ZNF821	
FADD	1	FADD	
ARGLU1	1	ARGLU1	
PAG1	1	PAG1	
DECR1	1	DECR1	
APOBEC3C	1	APOBEC3C	
VAT1	1	VAT1	
SNHG1	1	SNHG1	
SIAH2	1	SIAH2	
EAF2	1	EAF2	
MICAL3	1	MICAL3	
SNHG9	1	SNHG9	
BSDC1	1	BSDC1	
PYCR2	1	PYCR2	
SNHG6	1	SNHG6	
PARP14	1	PARP14	
SNHG5	1	SNHG5	
PARP15	1	PARP15	
SNHG3	1	SNHG3	
CCT6A	1	CCT6A	
STAG3	1	STAG3	
LPAR5	1	LPAR5	
EPRS1	1	EPRS	
CREBRF	1	CREBRF	
MAGED2	1	MAGED2	
CYSTM1	1	CYSTM1	
RPS20	1	RPS20	
CD22	1	CD22	
HERPUD2	1	HERPUD2	
DAZAP2	1	DAZAP2	
CITED2	1	CITED2	
MRPS14	1	MRPS14	
PPP1R10	1	PPP1R10	
GDI2	1	GDI2	
MRPS12	1	MRPS12	
MCUB	1	MCUB	
AKR1B1	1	AKR1B1	
IER3IP1	1	IER3IP1	
PRPF19	1	PRPF19	
AATF	1	AATF	
PPP1R18	1	PPP1R18	
JCHAIN	1	JCHAIN	
AKAP13	1	AKAP13	
UCHL1	1	UCHL1	
SEC61G	1	SEC61G	
IDS	1	IDS	
CCR7	1	CCR7	
RAC1	1	RAC1	
ACADM	1	ACADM	
CLIC1	1	CLIC1	
CCT3	1	CCT3	
CAP1	1	CAP1	
VKORC1	1	VKORC1	
MRPS26	1	MRPS26	
SEC13	1	SEC13	
MMD	1	MMD	
TUBB	1	TUBB	
TSC22D3	1	TSC22D3	
MRPS23	1	MRPS23	
COMMD3	1	COMMD3	
MRPS6	1	MRPS6	
TLR1	1	TLR1	
RNF144B	1	RNF144B	
KIF9	1	KIF9	
MZB1	1	MZB1	
CD48	1	CD48	
ATP6V0C	1	ATP6V0C	
MAPRE2	1	MAPRE2	
PTGER4	1	PTGER4	
SSNA1	1	SSNA1	
MRPS34	1	MRPS34	
CXCR5	1	CXCR5	
CAPG	1	CAPG	
COX5B	1	COX5B	
RELB	1	RELB	
ATP5F1A	1	ATP5F1A	
METTL5	1	METTL5	
CCT8	1	CCT8	
CCT7	1	CCT7	
CCT5	1	CCT5	
MARCHF6	1	MARCH6	
MAP4K4	1	MAP4K4	
RANBP2	1	RANBP2	
ATP2B1-AS1	1	ATP2B1-AS1	
ATP5PF	1	ATP5PF	
MON2	1	MON2	
ATP5PD	1	ATP5PD	
CD72	1	CD72	
YIPF3	1	YIPF3	
CD70	1	CD70	
PTGES3	1	PTGES3	
H2BC4	1	HIST1H2BC	
TTC1	1	TTC1	
RPA2	1	RPA2	
RAB11A	1	RAB11A	
KMT2E-AS1	1	KMT2E-AS1	
KLHL6	1	KLHL6	
STK17B	1	STK17B	
CAPZA1	1	CAPZA1	
RPA3	1	RPA3	
NDUFAB1	1	NDUFAB1	
OTULIN	1	OTULIN	
TACC1	1	TACC1	
CD69	1	CD69	
KBTBD8	1	KBTBD8	
FCMR	1	FCMR	
C1orf52	1	C1orf52	
CD84	1	CD84	
CD83	1	CD83	
NDUFA12	1	NDUFA12	
CWC25	1	CWC25	
PRDM2	1	PRDM2	
ARID4B	1	ARID4B	
RGS1	1	RGS1	
CSKMT	1	CSKMT	
CAPN7	1	CAPN7	
ARHGDIA	1	ARHGDIA	
SNIP1	1	SNIP1	
BANF1	1	BANF1	
OSTF1	1	OSTF1	
CHCHD1	1	CHCHD1	
KDM2A	1	KDM2A	
SLC30A4	1	SLC30A4	
ALG13	1	ALG13	
NOSIP	1	NOSIP	
ARID5B	1	ARID5B	
SDHC	1	SDHC	
SDHD	1	SDHD	
RPP25L	1	RPP25L	
COX6B1	1	COX6B1	
ADAM19	1	ADAM19	
DOK1	1	DOK1	
DLGAP1-AS1	1	DLGAP1-AS1	
TMX4	1	TMX4	
SBDS	1	SBDS	
ELMO1	1	ELMO1	
GEMIN6	1	GEMIN6	
PSMB8-AS1	1	PSMB8-AS1	
CARS1	1	CARS	
ISCU	1	ISCU	
FAIM	1	FAIM	
PSMD10	1	PSMD10	
COPB2	1	COPB2	
DDX6	1	DDX6	
TSG101	1	TSG101	
NDUFB10	1	NDUFB10	
STK4	1	STK4	
RASGRP3	1	RASGRP3	
SEL1L3	1	SEL1L3	
TMEM243	1	TMEM243	
UBB	1	UBB	
NLRP4	1	NLRP4	
NDUFV2	1	NDUFV2	
PRNP	1	PRNP	
UBE2I	1	UBE2I	
PDHA1	1	PDHA1	
HSPA4	1	HSPA4	
KLHL24	1	KLHL24	
SSH2	1	SSH2	
EIF2S1	1	EIF2S1	
CYRIA	1	FAM49A	
AZIN1	1	AZIN1	
GRHPR	1	GRHPR	
SELL	1	SELL	
UBXN11	1	UBXN11	
FMC1	1	FMC1	
DNAJC10	1	DNAJC10	
CHMP2A	1	CHMP2A	
CYCS	1	CYCS	
UBA2	1	UBA2	
COX20	1	COX20	
TMEM35B	1	TMEM35B	
DDX3Y	1	DDX3Y	
PHTF2	1	PHTF2	
USP36	1	USP36	
TNFAIP8	1	TNFAIP8	
RBM25	1	RBM25	
MRFAP1L1	1	MRFAP1L1	
B4GALT1	1	B4GALT1	
USP34	1	USP34	
ATP2A3	1	ATP2A3	
ILK	1	ILK	
DPY30	1	DPY30	
SLC2A3	1	SLC2A3	
MEA1	1	MEA1	
CHD2	1	CHD2	
AFF4	1	AFF4	
CHD1	1	CHD1	
RBM3	1	RBM3	
RASGEF1B	1	RASGEF1B	
VCPKMT	1	VCPKMT	
CYTIP	1	CYTIP	
IFT57	1	IFT57	
RBM7	1	RBM7	
MYBL1	1	MYBL1	
RBM33	1	RBM33	
KDM6A	1	KDM6A	
MAPK1IP1L	1	MAPK1IP1L	
SRGN	1	SRGN	
GLRX2	1	GLRX2	
PPP2R5C	1	PPP2R5C	
GPCPD1	1	GPCPD1	
TENT5C	1	TENT5C	
DARS1	1	DARS	
TAPBP	1	TAPBP	
ELF1	1	ELF1	
AIM2	1	AIM2	
FCHSD2	1	FCHSD2	
OAS1	1	OAS1	
EEF1D	1	EEF1D	
NDUFS6	1	NDUFS6	
PPDPF	1	PPDPF	
NDUFS3	1	NDUFS3	
NDUFS2	1	NDUFS2	
ITGB1BP1	1	ITGB1BP1	
PFDN4	1	PFDN4	
PFDN6	1	PFDN6	
NUP58	1	NUP58	
USP15	1	USP15	
CAMK2D	1	CAMK2D	
BCL2A1	1	BCL2A1	
NAA20	1	NAA20	
MAT2B	1	MAT2B	
MTIF3	1	MTIF3	
ATP1A1	1	ATP1A1	
RNF5	1	RNF5	
CRYZ	1	CRYZ	
PDLIM1	1	PDLIM1	
GNA13	1	GNA13	
UGP2	1	UGP2	
GNG2	1	GNG2	
GNG5	1	GNG5	
CNR1	1	CNR1	
TOGARAM1	1	TOGARAM1	
C14orf119	1	C14orf119	
CFAP20	1	CFAP20	
S1PR4	1	S1PR4	
RBM38	1	RBM38	
ATF7IP	1	ATF7IP	
NIFK	1	NIFK	
WTAP	1	WTAP	
BNIP3	1	BNIP3	
TAF11	1	TAF11	
ATP2B1	1	ATP2B1	
